#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
12,"Flying","Ryce, Limbo",23,75,"","","Flying",2017-10-08,02:46,65,42,57,0,29,10,10,-10,C,4,2019-11-11,17WwFJ1HBd5Sl8rGcWxfNG,"722669 Records DK",8B,QZ9Y21717712
13,"Easy","Mac Ayres",60,91,"","","Drive Slow",2017-08-11,05:14,72,28,37,1,24,10,10,-7,F,4,2019-11-11,58dSdjfEYNSxte1aNVxuNf,"Dixon Court Records",7B,USUYG1128427
14,"The Less I Know The Better","Tame Impala",88,117,"neo-psychedelic, indie","Pop, Rock","Currents",2015-07-17,03:36,64,74,1,1,79,0,10,-4,E,4,2019-11-11,6K4t31amVTZDgR3sKmwUJJ,"Universal Music Australia Pty. Ltd.",12B,AUUM71500303
15,"Resonance","Home",0,170,"vaporwave, synthwave, chillwave","Electronic","Odyssey",2014-07-01,03:32,57,74,4,85,42,0,20,-9,G#/A♭,5,2019-11-11,1TuopWDIuDi1553081zvuU,"606983 Records DK2",4B,QM4DW1607618
16,"Beach Walk","Whitewoods ",48,89,"vaporwave","Electronic","Beach Walk",2015-12-03,02:19,46,82,35,3,63,10,60,-7,G,4,2019-11-11,1KN9HelgzrT0jMQ5Ju8u8Y,"Whitewoods",9B,TCACK1546887
17,"Somber Waves","Whitewoods ",35,78,"vaporwave","Electronic","Play the Game",2016-04-01,03:36,52,73,0,83,71,0,20,-8,F#/G♭,4,2019-11-11,69CJ2ahIQ6UEs7ZZvgDE4s,"Whitewoods",2B,TCACN1630821
18,"Feel It All Around","Washed Out",0,172,"chillwave, dream pop","Electronic, Pop, Rock","Life Of Leisure",2009-09-08,03:12,36,75,0,68,47,0,0,-5,G#/A♭,4,2019-11-11,6IE47jpPeatF2Iay7GZtEc,"Mexican Summer",4B,USMEX0800099
19,"Marijuana","Chrome Sparks",0,87,"chillwave","Electronic","Sparks EP",2013-08-29,03:01,70,66,6,77,42,10,30,-10,C♯/D♭ minor,4,2019-11-11,5K4ExI2qvE1Ule3u7LxUDT,"Future Classic",12A,QMHHY1300002
20,"Dissolve","Absofacto",0,85,"","","Dissolve",2015-02-11,03:44,69,58,24,0,90,0,0,-11,F#/G♭ minor,4,2019-11-11,6sarUARDOnVNNDlo1wC58p,"Absofacto",11A,QMQ871500001
21,"SLOW DANCING IN THE DARK","Joji",5,89,"","","BALLADS 1",2018-10-26,03:29,52,48,54,1,28,0,10,-7,D#/E♭,4,2019-11-12,0rKtyWc8bvkriBthvHKY8d,"88rising Music/Warner Records",5B,ZZOPM1800452
22,"Dance Around the Fire","Why These Coyotes",48,81,"","","Dance Around the Fire",2017-10-20,03:20,65,44,15,0,52,0,10,-9,F#/G♭,4,2019-11-13,6oDXwSPWcp7KT2B3funF8y,"4am Records",2B,QZ9Y21757850
23,"Amor de Siempre","Cuco",0,123,"bedroom pop","Pop","wannabewithu",2016-07-09,05:21,56,64,62,36,54,0,10,-7,C,4,2019-11-13,6VZg3YsN5kKBwz39fPcIM1,"Cuco",8B,USHM21643449
24,"Lover Is a Day","Cuco",1,180,"bedroom pop","Pop","wannabewithu",2016-07-09,07:36,41,65,4,19,34,0,10,-10,D#/E♭,4,2019-11-13,76tGvMdmFKuiMew33ZNNA9,"Cuco",5B,USHM21643447
25,"Dreams Tonite","Alvvays",0,100,"dream pop, shoegaze, jangle pop, indie","Pop, Rock","Antisocialites",2017-09-08,03:16,51,62,1,0,42,0,10,-6,D,4,2019-11-18,0DRvClQbN9znQ295sx76VC,"Polyvinyl Records",10B,US3R41733402
26,"Walking On A Dream","Empire Of The Sun",85,127,"","","Walking On A Dream (10th Anniversary Edition)",2008-10-03,03:18,87,70,26,0,72,0,0,-6,F minor,4,2019-12-07,5r5cp9IpziiIsR6b93vcnQ,"EMI Recorded Music Australia Pty Ltd",4A,AUEI10800039
27,"I Don't Need You","Acid Ghost",45,156,"dream pop","Pop, Rock","I Don't Need You",2015-04-06,03:06,47,82,2,82,26,0,30,-5,G,4,2019-12-13,7IWdKDoQ3QNaF790h3skyc,"Acid Ghost inc",9B,TCADI1733219
28,"Eclipse","Inner Wave",0,120,"","","Eclipse",2017-08-04,03:06,63,75,49,94,51,0,30,-6,E minor,4,2019-12-13,7zSrC8toa3hFPDD172Iyhj,"Inner Wave",9A,TCADF1712009
29,"Different State of Mind","Kid Bloom",0,141,"","","A Different State of Mind",2016-12-02,03:45,66,39,72,21,74,0,10,-10,B,4,2019-12-22,1qRsC0QNSTXiTvHeeUlN5k,"kidbloomusa",1B,QZ4JJ1629163
30,"I Kissed a Girl, and She Kissed Me","Kid Bloom",0,118,"","","A Different State of Mind",2016-12-02,02:35,76,47,76,5,56,0,10,-12,A#/B♭,4,2019-12-22,3EZvhNCLA30qUZT2LMDYRL,"kidbloomusa",6B,QZ4JJ1629162
31,"Electric U","Kid Bloom",0,112,"","","Electric U",2016-06-17,02:51,91,37,30,0,96,0,0,-11,C♯/D♭ minor,4,2019-12-22,61au8r2wPFZVPhEG11bQTx,"607155 Records DK2",12A,QM2PV1607689
32,"Dontmakemefallinlove","Cuco",0,104,"bedroom pop","Pop","Chiquito",2018-05-04,03:27,39,90,37,43,84,0,0,-5,G#/A♭,4,2019-12-23,6zHyWsqTzT6Fympdy9KQDQ,"Cuco",4B,GBKPL1806792
33,"Money","The Drums",0,102,"indie","Pop, Rock","Portamento",2011-09-06,03:53,60,92,22,15,45,0,20,-7,E minor,4,2020-01-27,0vAb3U3NJhiuib2B7sJdeJ,"Frenchkiss Records",9A,GBUM71105426
34,"At The Door","The Strokes",0,117,"garage rock, alternative rock, indie rock","Rock","At The Door",2020-02-11,05:10,46,32,86,1,36,0,10,-7,A#/B♭,4,2020-02-13,7dz48pntblPzJ9mTPiUH81,"Cult Records/RCA Records",6B,USRC11902731
35,"Girls just want to have fun","Bladee, Ecco2k",0,150,"cloud rap, hyperpop","Hip Hop, Electronic, Pop","Girls just want to have fun",2020-02-24,02:14,52,63,2,59,11,0,10,-9,C,4,2020-06-03,16aNHWdWoO9zobj4lqAoWV,"YEAR0001",8B,GBKPL2089214
36,"On Melancholy Hill","Gorillaz",84,120,"","","Plastic Beach",2010-03-03,03:53,69,74,0,51,58,0,0,-6,D,4,2020-06-13,0q6LuUqGLUiCPP1cbdwFs3,"Parlophone UK",10B,GBAYE1000010
37,"Sweet FA","Peach Pit",48,145,"","","Sweet FA",2018-06-27,03:35,57,50,14,0,55,0,10,-8,C♯/D♭ minor,4,2020-06-20,4fY6EU3jUQQISiUR8DLXuM,"Columbia",12A,USSM11805168
38,"Realizations","Josh Lis",16,107,"synthwave, vaporwave, chillwave","Electronic","Rear View",2017-06-29,03:17,72,69,36,4,35,0,10,-6,E minor,4,2020-08-09,3zrFEHgD7JiSzHQtDTdiCa,"1153121 Records DK",9A,QZDA81956419
39,"Homage","Mild High Club",0,73,"neo-psychedelic","Rock","Skiptracing",2016-08-26,02:57,55,47,15,0,42,0,30,-8,F,4,2020-08-20,7pegxVesMmE2qK0o58xoFG,"Stones Throw Records",7B,US2S71673002
40,"Renee","SALES",65,109,"bedroom pop","Pop","Renee",2013-06-23,02:59,92,39,76,0,42,0,10,-8,A,4,2020-09-08,5MeUMSRreLHYLhw8ZTyqpk,"SALES",11B,TCABU1478783
41,"Beachwalk - Zen Remix","Whitewoods",0,180,"vaporwave","Electronic","Beachwalk (Zen Remix)",2017-01-07,02:08,58,96,20,19,80,20,0,-2,B,4,2020-10-02,1JIGIglq7tv6fOZ7lE65Mf,"646290 Records DK",1B,QZ4JJ1714415
42,"Remorse","Scattle",42,120,"synthwave","Electronic","Visitors",2014-04-29,03:33,71,74,2,82,16,0,10,-9,F minor,4,2020-10-02,5lwwvBCUABdNcrIVYn6E15,"Record Union",4A,SEYOK1409110
